rut_aportante;nombre_aportante;rut_receptor;nombre_receptor;monto_aporte;fecha_aporte;eleccion_campaña
76123456-7;CONSTRUCTORA ANDES LTDA;12345678-9;JUAN PEREZ MARTINEZ;5000000;2024-04-15;ELECCIONES MUNICIPALES 2024
76234567-8;SERVICIOS GLOBALES SPA;23456789-0;MARIA GONZALEZ ROJAS;3500000;2024-04-20;ELECCIONES MUNICIPALES 2024
76345678-9;INGENIERIA Y DESARROLLO SA;34567890-1;CARLOS MUÑOZ SILVA;8000000;2024-05-01;ELECCIONES MUNICIPALES 2024
76456789-0;CONSULTORES PACIFICO LTDA;45678901-2;ANA LOPEZ DIAZ;2000000;2024-03-28;ELECCIONES MUNICIPALES 2024
76567890-1;INMOBILIARIA NORTE SPA;56789012-3;PEDRO SOTO ARRIAGADA;12000000;2024-04-10;ELECCIONES MUNICIPALES 2024
76678901-2;TECNOLOGIA AUSTRAL SA;67890123-4;ROSA FIGUEROA CAMPOS;1500000;2024-05-05;ELECCIONES MUNICIPALES 2024
76789012-3;MINERA ATACAMA LTDA;78901234-5;ROBERTO HERRERA VALENZUELA;25000000;2024-03-15;ELECCIONES GOBERNADORES 2024
76890123-4;CONSTRUCTORA SUR SPA;89012345-6;LUCIA BRAVO CONTRERAS;4000000;2024-04-22;ELECCIONES GOBERNADORES 2024
76901234-5;ALIMENTOS DEL MAR SA;90123456-7;ANDRES PAREDES GUTIERREZ;6000000;2024-04-30;ELECCIONES MUNICIPALES 2024
77012345-6;TRANSPORTE REGIONAL LTDA;12345678-9;JUAN PEREZ MARTINEZ;3000000;2024-05-10;ELECCIONES MUNICIPALES 2024
77123456-7;SEGURIDAD PRIVADA OMEGA SPA;23456789-0;MARIA GONZALEZ ROJAS;7500000;2024-03-20;ELECCIONES MUNICIPALES 2024
77234567-8;FARMACIA SALUD TOTAL SA;34567890-1;CARLOS MUÑOZ SILVA;2500000;2024-04-18;ELECCIONES MUNICIPALES 2024
77345678-9;ASEO INDUSTRIAL NORTE LTDA;45678901-2;ANA LOPEZ DIAZ;1800000;2024-05-08;ELECCIONES MUNICIPALES 2024
77456789-0;EXPORTADORA BIOBIO SPA;56789012-3;PEDRO SOTO ARRIAGADA;9000000;2024-04-25;ELECCIONES GOBERNADORES 2024
77567890-1;SERVICIOS ELECTRICOS SA;67890123-4;ROSA FIGUEROA CAMPOS;4500000;2024-03-30;ELECCIONES MUNICIPALES 2024
77678901-2;PUBLICIDAD CREATIVA LTDA;78901234-5;ROBERTO HERRERA VALENZUELA;15000000;2024-04-12;ELECCIONES GOBERNADORES 2024
77789012-3;CONSTRUCTORA VALPARAISO SPA;89012345-6;LUCIA BRAVO CONTRERAS;6500000;2024-05-03;ELECCIONES MUNICIPALES 2024
77890123-4;AGROINDUSTRIAL MAULE SA;90123456-7;ANDRES PAREDES GUTIERREZ;3200000;2024-04-08;ELECCIONES MUNICIPALES 2024
78012345-5;INFORMATICA CENTRAL LTDA;12345678-9;JUAN PEREZ MARTINEZ;8500000;2024-03-25;ELECCIONES GOBERNADORES 2024
78123456-6;SERVICIOS MEDICOS SUR SPA;23456789-0;MARIA GONZALEZ ROJAS;2200000;2024-05-15;ELECCIONES MUNICIPALES 2024
78234567-7;COMERCIALIZADORA IQUIQUE SA;34567890-1;CARLOS MUÑOZ SILVA;11000000;2024-04-05;ELECCIONES GOBERNADORES 2024
78345678-8;MINERA COPIAPO LTDA;45678901-2;ANA LOPEZ DIAZ;18000000;2024-03-18;ELECCIONES GOBERNADORES 2024
78456789-9;CONSTRUCTORA ANTOFAGASTA SPA;56789012-3;PEDRO SOTO ARRIAGADA;7000000;2024-04-28;ELECCIONES MUNICIPALES 2024
78567890-0;SERVICIOS PORTUARIOS SA;67890123-4;ROSA FIGUEROA CAMPOS;5500000;2024-05-12;ELECCIONES MUNICIPALES 2024
78678901-1;TURISMO ARAUCANIA LTDA;78901234-5;ROBERTO HERRERA VALENZUELA;3800000;2024-04-02;ELECCIONES MUNICIPALES 2024
78789012-2;EMPRESA SANITARIA NORTE SPA;89012345-6;LUCIA BRAVO CONTRERAS;9500000;2024-03-22;ELECCIONES GOBERNADORES 2024
78890123-3;IMPORTADORA SANTIAGO SA;90123456-7;ANDRES PAREDES GUTIERREZ;4200000;2024-05-06;ELECCIONES MUNICIPALES 2024
79012345-4;LABORATORIO BIOTECH LTDA;12345678-9;JUAN PEREZ MARTINEZ;6800000;2024-04-14;ELECCIONES GOBERNADORES 2024
79123456-5;CONSULTORA AMBIENTAL SPA;23456789-0;MARIA GONZALEZ ROJAS;2800000;2024-03-27;ELECCIONES MUNICIPALES 2024
79234567-6;ENERGIAS RENOVABLES SA;34567890-1;CARLOS MUÑOZ SILVA;20000000;2024-04-09;ELECCIONES GOBERNADORES 2024
